бац межд.; предик.
таила́ндец мо 5*a
голла́ндец мо 5*a
гренла́ндец мо 5*a
лапла́ндец мо 5*a
нидерла́ндец мо 5*a
ирла́ндец мо 5*a
исла́ндец мо 5*a
шотла́ндец мо 5*a
флама́ндец мо 5*a
норма́ндец мо 5*a
бургу́ндец мо 5*a
финля́ндец мо 5*a
петрозаво́дец мо 5*a
а̀втозаво́дец мо 5*a
полково́дец мо 5*a
кислово́дец мо 5*a
флотово́дец мо 5*a
волого́дец мо 5*a
эпизо́дец м 5*a
коло́дец м 5*a
молоде́ц мо 5*b [_нар.-поэт._ __мо́лодец__ мо 5*a]
холоде́ц м 5*b, Р2
наро́дец м 5*a
новгоро́дец мо 5*a
нижегоро́дец мо 5*a
ужгоро́дец мо 5*a
звенигоро́дец мо 5*a
белгоро́дец мо 5*a
ива̀нгоро́дец мо 5*a
огоро́дец м 5*a
арха̀нгелогоро́дец мо 5*a
миргоро́дец мо 5*a
иноро́дец мо 5*a
уро́дец мо 5*a
подхо́дец м 5*a
морехо́дец мо 5*a
дохо́дец м 5*a
судохо́дец мо 5*a
инохо́дец мо 5*a
похо́дец м 5*a
скорохо́дец мо 5*a
землепрохо́дец мо 5*a
первопрохо́дец мо 5*a
канатохо́дец мо 5*a
вы́ходец мо 5*a
ломба́рдец мо 5*a
горде́ц мо 5b
о́ксфо́рдец мо 5*a
тунея́дец мо 5*a
сухоя́дец мо 5*a
старообря́дец мо 5*a
красноря́дец мо 5*a
охотноря́дец мо 5*a
бомбе́ец мо 5*a
адыге́ец мо 5*a
удэге́ец мо 5*a
инде́ец мо 5*a
гварде́ец мо 5*a
молодогварде́ец мо 5*a
белогварде́ец мо 5*a
ко̀нногварде́ец мо 5*a
красногварде́ец мо 5*a
суде́ец мо 5*a
ганзе́ец мо 5*a
остзе́ец мо 5*a
араме́ец мо 5*a
дагоме́ец мо 5*a
арме́ец мо 5*a
ко̀нарме́ец мо 5*a
красноарме́ец мо 5*a
сидне́ец мо 5*a
гвине́ец мо 5*a
европе́ец мо 5*a
индоевропе́ец мо 5*a
за̀падноевропе́ец мо 5*a
назаре́ец мо 5*a
батаре́ец мо 5*a
гиперборе́ец мо 5*a
пифагоре́ец мо 5*a
коре́ец мо 5*a
эпикуре́ец мо 5*a
енисе́ец мо 5*a
путе́ец мо 5*a
ахе́ец мо 5*a
пра́жец мо 5*a
конькобе́жец мо 5*a
норве́жец мо 5*a
воро́нежец мо 5*a
ковче́жец м 5*a
дрожже́ц _форма Р. мн.; других форм нет_
лжец мо 5b
скотоло́жец мо 5*a
