бац межд.; предик.
кашми́рец мо 5*a
мокре́ц м 5b
1/боре́ц мо 5*b (_участник борьбы; спортсмен_)
2/боре́ц м 5*b (_растение_)
змеебо́рец мо 5*a
двоебо́рец мо 5*a
троебо́рец мо 5*a
пятибо́рец мо 5*a
десятибо́рец мо 5*a
богобо́рец мо 5*a
многобо́рец мо 5*a
тиранобо́рец мо 5*a
единобо́рец мо 5*a
иконобо́рец мо 5*a
ратобо́рец мо 5*a
духобо́рец мо 5*a
дворе́ц м 5*b
царедво́рец мо 5*a
однодво́рец мо 5*a
гостинодво́рец мо 5*a
скворе́ц мо 5*b
творе́ц мо 5*b
чудотво́рец мо 5*a
крючкотво́рец мо 5*a
языкотво́рец мо 5*a
песнотво́рец мо 5*a
миротво́рец мо 5*a
стихотво́рец мо 5*a
го́рец мо 5*a (_житель гор_)
горе́ц м 5*b (_растение_)
холмого́рец мо 5*a
черного́рец мо 5*a
магнитого́рец мо 5*a
эквадо́рец мо 5*a
сальвадо́рец мо 5*a
ижо́рец мо 5*a
коре́ц м 5*b
примо́рец мо 5*a
черномо́рец мо 5*a
помо́рец мо 5*a
северомо́рец мо 5*a
шпо́рец м 5*a [//__шпо́рца__]
торе́ц м 5*b
ула̀нба́торец мо 5*a
консервато́рец мо 5*a
алю́торец мо 5*a
шо́рец мо 5*a
нава́ррец мо 5*a
канбе́ррец мо 5*a
хитре́ц мо 5b
остре́ц м 5b
костре́ц м 5b
нутре́ц м 5b (_болезнь лошадей_); мо 5b (_лошадь, страдающая этой болезнью_)
огуре́ц м 5*b
сингапу́рец мо 5*a
сыре́ц м 5*b
шё́лк-сыре́ц м, 3a + 5*b, —
хло́пок-сыре́ц м, 3*a + 5*b, —
красноя́рец мо 5*a
эльза́сец мо 5*a
ко́тласец мо 5*a
арзама́сец мо 5*a
парна́сец мо 5*a
ка́унасец мо 5*a
запа́сец м 5*a
гондура́сец м 5*a
теха́сец мо 5*a
овсе́ц м 5b
песе́ц мо 5*b (_в т. ч. о мехе_)
буэ̀носа́йресец мо 5*a
кутаи́сец мо 5*a
тбили́сец мо 5*a
тифли́сец мо 5*a
туни́сец мо 5*a
писе́ц мо 5*b
живопи́сец мо 5*a
одопи́сец мо 5*a
борзопи́сец мо 5*a
самопи́сец м 5*a
стенопи́сец мо 5*a
иконопи́сец мо 5*a
баснопи́сец мо 5*a
скоропи́сец мо 5*a
летопи́сец мо 5*a (_составитель летописи_); м 5*a (_летопись_)
высотопи́сец м 5*a
лао́сец мо 5*a
косе́ц мо 5*b
сеноко́сец мо 5*a (_косец; насекомое_)
авиано́сец м 5*a
хоругвено́сец мо 5*a
змеено́сец мо 5*a
оружено́сец мо 5*a
медалено́сец мо 5*a
знамено́сец мо 5*a
бронено́сец м 5*a (_корабль_); мо 5*a (_животное_)
венцено́сец мо 5*a
1-2/мечено́сец мо 5*a (_член католич. ордена; рыба_)
свещено́сец мо 5*a
копьено́сец мо 5*a
богоно́сец мо 5*a
рогоно́сец мо 5*a
торпедоно́сец м 5*a
звездоно́сец мо 5*a
жгутиконо́сец мо 5*a
письмоно́сец мо 5*a
орденоно́сец мо 5*a
миноно́сец м 5*a
ко̀нтрминоно́сец м 5*a
порфироно́сец мо 5*a
ракетоно́сец м 5*a
щитоно́сец мо 5*a
нотоно́сец м 5*a
крестоно́сец мо 5*a
семяно́сец м 5*a
вопро́сец м 5*a
сосе́ц м 5*b
та́ртусец мо 5*a
ви́льнюсец мо 5*a
рудозна́тец мо 5*a
гуджара́тец мо 5*a
бра́тец мо 5*a
святота́тец мо 5*a
кроншта́дтец мо 5*a
тибе́тец мо 5*a
свете́ц м 5*b
сюже́тец м 5*a
секре́тец м 5*a
портре́тец м 5*a
счётец м 5*a
расчётец м 5*a
си́тец м 5*a, Р2
куве́йтец мо 5*a
ташке́нтец мо 5*a
пьемо́нтец мо 5*a
оте́ц мо 5*b
пра́отец мо 5*a
анекдо́тец м 5*a
краснофло́тец мо 5*a
золоторо́тец мо 5*a
бухаре́стец мо 5*a
1-2/кресте́ц м 5*b
исте́ц мо 5*b
соисте́ц мо 5*b
чисте́ц м 5b
хвосте́ц м 5*b
просте́ц мо 5b
льстец мо 5b
кальку́ттец мо 5*a
путе́ц м 5*b
бейру́тец мо 5*a
чтец мо 5b
будапе́штец мо 5*a
дюссельдо́рфец мо 5*a
цю́рихец мо 5*a
волче́ц м 5*b
кольче́ц мо 5b
древото́чец мо 5*a
землепа́шец мо 5*a
хлебопа́шец мо 5*a
щец _форма Р. мн.; других форм нет_
ханты́ец мо 5*a
блиц м 5a
шлиц м, 5a//5b
ниц н
1/шпиц м 5a (_шпиль_)
2/шпиц мо 5a (_собака_)
шприц м 5a [_проф._ м 5b]
фриц мо 5a
флейц м 5a
принц мо 5a
кро̀нпри́нц мо 5a
кварц м 5a
биква́рц м 5a
пьѐзоква́рц м 5a
герц м 5a②
мегаге́рц м 5a②
килоге́рц м 5a②
терц м 5a
кибу́ц м 5a
цыц межд.
фальц м 5a
зельц м 5a
за́яц мо 5*a (_в т. ч. о мехе_) △ _исх. форма нерегул._
пая́ц мо 5a
ме́сяц м 5a
полуме́сяц м 5a
